id,name,docs,docs_exists,docs_anchor,details_anchor,catalog_anchor,source
privacy.disable-cli-telemetry,Disable PowerShell & .NET CLI Telemetry,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L724
privacy.disable-consumer-account-content,Disable Consumer Account State Content,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L947
privacy.disable-copilot,Disable Windows Copilot,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L395
privacy.disable-cross-device-experiences,Cross-Device Sharing,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L619
privacy.disable-device-name-telemetry,Disable Device Name in Diagnostics,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L152
privacy.disable-diagnostic-data,Set Diagnostic Data to Minimum Supported Level,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L22
privacy.disable-diagnostic-data-delete,Disable Diagnostic Data Deletion,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L176
privacy.disable-diagnostic-data-viewer,Disable Diagnostic Data Viewer,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L164
privacy.disable-edge-search-suggestions,Disable Edge Search Suggestions,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L982
privacy.disable-f1-help,Disable F1 Help,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L973
privacy.disable-feedback-notifications,Disable Feedback Notifications,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L546
privacy.disable-file-history,Disable File History,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L585
privacy.disable-find-my-device,Disable Find My Device,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L663
privacy.disable-font-providers,Disable Font Providers,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L370
